Field=#~Integer~#~50|Field=Fitted~String~Fitted~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=PartNumber~String~PartNumber~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer~String~Manufacturer~100|Field=PackageReference~String~PackageReference~100|Field=Value~String~Value~100|Field=Alternate Manufacturer~String~Alternate Manufacturer~100|Field=Alternate PartNumber~String~Alternate PartNumber~100|ReportField=Currency~USD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~MD016A.PrjPcb|ReportField=ProjectFullPath~Y:\PMP_PCB\PMP EVM ARCHIVE\MDBU_Numbers\MD016\MD016A\MD016A.PrjPcb|ReportField=Title~BOM (EVM format) For Variant [002] of Project [MD016A.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~117|ReportField=ReportTime~9:45:27 AM|ReportField=ReportDate~7/18/2018|ReportField=ReportDateTime~7/18/2018 9:45:27 AM|ReportField=OutputName~BOM (EVM format)|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~002|ReportField=EVM_Orderable~DRV8353RH-EVM|ReportField=CopyrightYear~2018|ReportField=PCB_Layout~Hector Hernandez|ReportField=PCB_Rev~A|ReportField=PRJ_Customer~Public Release|ReportField=PRJ_Engineer~hector Hernandez|ReportField=PRJ_Number~MD016|ReportField=PRJ_Title~DRV8353RX 3-Phase Smart Gate Driver EVM|ReportField=SCH_Rev~A|ReportField=TechSupport~http://www.ti.com/support|ReportField=TID~N/A|ReportField=Address1~Not shown in title block|ReportField=Address2~Not shown in title block|ReportField=Address3~Not shown in title block|ReportField=Address4~Not shown in title block|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Not shown in title block|ReportField=Author~Not shown in title block|ReportField=CheckedBy~Not shown in title block|ReportField=CompanyName~Not shown in title block|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~7/18/2018|ReportField=CurrentTime~9:40:37 AM|ReportField=Date~Not shown in title block|ReportField=DocumentFullPathAndName~Y:\PMP_PCB\PMP EVM ARCHIVE\MDBU_Numbers\MD016\MD016A\MD016A.SchDoc|ReportField=DocumentName~MD016A.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~Not shown in title block|ReportField=ImagePath~Not shown in title block|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~7/9/2018|ReportField=Organization~Not shown in title block|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=ProjectName~MD016A.PrjPcb|ReportField=Revision~Use project parameter SCH_Rev|ReportField=Rule~|ReportField=SheetNumber~2|ReportField=SheetTotal~3|ReportField=Time~Not shown in title block|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~MD016A.PrjPcb|ReportField=DataSourceFullPath~Y:\PMP_PCB\PMP EVM ARCHIVE\MDBU_Numbers\MD016\MD016A\MD016A.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
26|Fitted|Receptacle, 2.54mm, 10x2, Gold, TH|J1|SSQ-110-01-G-D-001-LL|1|Samtec|Receptacle, 2.54mm, 10x2, TH|||
27|Fitted|Receptacle, 2.54mm, 10x2, Gold, TH|J2|SSQ-110-01-G-D|1|Samtec|Receptacle, 2.54mm, 10x2, TH|||
28|Fitted|Terminal Block, 5mm, 5x1, R/A, TH|J3|1792892|1|Phoenix Contact|Terminal Block, 5mm, 5x1, R/A, TH|||
29|Fitted|Terminal Block, 9.52mm, 2x1, R/A, TH|J5|1902547|1|Phoenix Contact|Terminal Block, 2x1, Pitch 9.52mm|||
30|Fitted|Terminal Block, 9.52mm, 3x1, R/A, TH|J6|1904150|1|Phoenix Contact|Terminal Block, 3x1, Pitch 9.52mm|||
31|Fitted|Inductor, Shielded, 330 µH, 0.66 A, 1.1245 ohm, SMD|L1|74404084331|1|Wurth Elektronik|8x8mm|330uH||
32|Fitted|Thermal Transfer Printable Labels, 0.650" W x 0.200" H - 10,000 per roll|LBL1|THT-14-423-10|1|Brady|PCB Label 0.650 x 0.200 inch|||
33|Fitted|MOSFET, N-CH, 100 V, 17 A, DNK0008A (VSON-CLIP-8)|Q1, Q2, Q3, Q4, Q5, Q6|CSD19532Q5B|6|Texas Instruments|DNK0008A|100V|None|
34|Fitted|RES, 383 k, 1%, 0.1 W, AEC-Q200 Grade 0, 0603|R1, R2, R3, R13|CRCW0603383KFKEA|4|Vishay-Dale|0603|383k||
35|Fitted|RES, 9.76 k, 1%, 0.1 W, 0603|R7, R11, R12, R17|RC0603FR-079K76L|4|Yageo|0603|9.76k||
36|Fitted|RES, 0.007, 1%, 3 W, AEC-Q200 Grade 0, 2512|R14, R15, R16|CRE2512-FZ-R007E-3|3|Bourns|2512|0.007||
37|Fitted|RES, 0, 5%, 0.25 W, 1206|R19|RC1206JR-070RL|1|Yageo America|1206|0||
38|Fitted|RES, 330, 5%, 0.1 W, AEC-Q200 Grade 0, 0603|R20, R40, R41|CRCW0603330RJNEA|3|Vishay-Dale|0603|330||
39|Fitted|RES, 10 k, 5%, 0.1 W, 0603|R21|RC0603JR-0710KL|1|Yageo America|0603|10k||
40|Fitted|RES, 0, 5%, 0.1 W, 0603|R22, R36|ERJ-3GEY0R00V|2|Panasonic|0603|0||
41|Fitted|RES, 47 k, 5%, 0.1 W, AEC-Q200 Grade 0, 0603|R23, R38|CRCW060347K0JNEA|2|Vishay-Dale|0603|47k||
42|Fitted|RES, 75 k, 5%, 0.1 W, AEC-Q200 Grade 0, 0603|R26, R31|CRCW060375K0JNEA|2|Vishay-Dale|0603|75k||
43|Fitted|RES, 2.61 k, 0.1%, 0.1 W, 0603|R29|RG1608P-2611-B-T5|1|Susumu Co Ltd|0603|2.61k||
44|Fitted|RES, 10.0 k, 0.1%, 0.1 W, 0603|R33|RG1608P-103-B-T5|1|Susumu Co Ltd|0603|10.0k||
45|Fitted|RES, 274 k, 1%, 0.1 W, 0603|R34|RC0603FR-07274KL|1|Yageo America|0603|274k||
46|Fitted|RES, 107 k, 1%, 0.1 W, 0603|R35|RC0603FR-07107KL|1|Yageo America|0603|107k||
47|Fitted|RES, 2.61, 1%, 0.1 W, AEC-Q200 Grade 0, 0603|R37|CRCW06032R61FKEA|1|Vishay-Dale|0603|2.61||
48|Fitted|RES, 33 k, 5%, 0.1 W, AEC-Q200 Grade 0, 0603|R43, R44, R47|CRCW060333K0JNEA|3|Vishay-Dale|0603|33k||
